Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,151.42,NA,NA,NA,0.00,NA,13.17,0.30,14.74,3.18,4.83,NA,3.06,3.44,3.62,NA,73.78,1.12,184.03,NA,0.00,14.14,997.65,NA
2019-01-01 01:00:00,140.35,NA,NA,NA,0.00,NA,13.53,0.42,13.63,3.19,4.84,NA,3.08,3.45,3.64,NA,74.33,1.40,151.90,NA,0.00,13.81,997.70,NA
2019-01-01 02:00:00,126.70,NA,NA,NA,0.00,NA,10.89,0.62,12.31,3.18,4.83,NA,3.07,3.44,3.63,NA,74.22,1.41,152.57,NA,0.00,14.12,997.65,NA
2019-01-01 03:00:00,115.21,NA,NA,NA,0.00,NA,11.54,0.44,10.70,3.13,4.78,NA,3.02,3.39,3.58,NA,74.11,1.39,153.37,NA,0.00,14.63,997.38,NA
2019-01-01 04:00:00,102.22,NA,NA,NA,0.00,NA,11.93,1.30,9.57,3.05,4.70,NA,2.94,3.31,3.50,NA,74.05,1.21,147.85,NA,0.00,14.10,996.88,NA
2019-01-01 05:00:00,93.69,NA,NA,NA,0.00,NA,11.08,1.51,9.02,2.98,4.62,NA,2.86,3.23,3.43,NA,74.00,1.08,137.50,NA,0.00,14.98,996.45,NA
2019-01-01 06:00:00,88.60,NA,NA,NA,0.00,NA,11.84,1.33,9.09,3.02,4.67,NA,2.91,3.28,3.47,NA,73.94,0.72,155.36,NA,0.00,14.95,996.73,NA
2019-01-01 07:00:00,89.07,NA,NA,NA,0.00,NA,11.38,1.79,9.92,3.18,4.83,NA,3.07,3.44,3.63,NA,73.93,1.12,124.61,NA,0.00,22.27,997.65,NA
2019-01-01 08:00:00,89.21,NA,NA,NA,0.00,NA,10.07,1.69,11.32,3.26,4.91,NA,3.15,3.52,3.71,NA,73.93,0.95,134.83,NA,0.00,65.64,998.12,NA
2019-01-01 09:00:00,110.31,NA,NA,NA,0.00,NA,11.27,2.17,12.51,3.23,4.87,NA,3.12,3.49,3.68,NA,73.78,1.38,143.62,NA,0.00,144.68,997.95,NA
2019-01-01 10:00:00,30.03,NA,NA,NA,0.00,NA,9.97,1.66,13.60,3.13,4.78,NA,3.02,3.39,3.58,NA,73.69,1.11,133.79,NA,0.00,237.71,997.35,NA
2019-01-01 11:00:00,52.48,NA,NA,NA,0.00,NA,9.82,1.11,17.03,2.94,4.59,NA,2.83,3.20,3.39,NA,73.90,0.88,131.73,NA,0.00,306.14,996.22,NA
2019-01-01 12:00:00,105.47,NA,NA,NA,0.00,NA,10.56,1.03,26.92,2.71,4.36,NA,2.60,2.97,3.16,NA,74.59,0.74,140.99,NA,0.00,343.54,994.82,NA
2019-01-01 13:00:00,82.74,NA,NA,NA,0.00,NA,20.67,0.68,22.51,2.51,4.15,NA,2.40,2.77,2.95,NA,74.14,1.09,197.34,NA,0.00,333.45,993.63,NA
2019-01-01 14:00:00,60.71,NA,NA,NA,0.00,NA,24.10,0.86,10.97,2.39,4.04,NA,2.28,2.65,2.84,NA,74.34,0.92,185.11,NA,0.00,285.81,992.93,NA
2019-01-01 15:00:00,62.24,NA,NA,NA,0.00,NA,16.60,0.93,9.65,2.35,4.00,NA,2.24,2.61,2.80,NA,74.32,1.03,202.37,NA,0.00,156.14,992.68,NA
2019-01-01 16:00:00,54.93,NA,NA,NA,0.00,NA,13.98,0.90,8.69,2.39,4.04,NA,2.28,2.65,2.84,NA,73.42,1.22,217.15,NA,0.00,78.33,992.93,NA
2019-01-01 17:00:00,53.23,NA,NA,NA,0.00,NA,18.67,0.89,6.37,2.48,4.13,NA,2.37,2.74,2.93,NA,72.68,1.58,230.24,NA,0.00,23.09,993.50,NA
2019-01-01 18:00:00,60.52,NA,NA,NA,0.00,NA,29.60,1.65,4.74,2.67,4.32,NA,2.56,2.93,3.12,NA,74.14,0.98,211.44,NA,0.00,10.13,994.60,NA
2019-01-01 19:00:00,80.13,NA,NA,NA,0.00,NA,37.80,2.50,5.88,2.79,4.44,NA,2.68,3.05,3.24,NA,74.44,1.18,221.21,NA,0.00,12.08,995.32,NA
2019-01-01 20:00:00,95.77,NA,NA,NA,0.00,NA,40.36,1.30,6.77,2.82,4.47,NA,2.71,3.08,3.27,NA,74.17,0.23,98.63,NA,0.00,13.49,995.50,NA
2019-01-01 21:00:00,95.02,NA,NA,NA,0.00,NA,21.50,0.57,7.41,2.82,4.47,NA,2.71,3.08,3.27,NA,74.72,0.26,67.28,NA,0.00,14.48,995.53,NA
2019-01-01 22:00:00,92.49,NA,NA,NA,0.00,NA,16.69,0.89,7.60,2.88,4.53,NA,2.77,3.14,3.33,NA,74.76,0.47,99.76,NA,0.00,14.38,995.85,NA
2019-01-01 23:00:00,91.27,NA,NA,NA,0.00,NA,17.64,0.94,7.73,2.90,4.54,NA,2.78,3.16,3.34,NA,74.73,0.46,91.76,NA,0.00,15.34,995.97,NA
2019-01-02 00:00:00,96.40,NA,NA,NA,0.00,NA,18.66,0.84,8.76,2.89,4.54,NA,2.77,3.15,3.33,NA,74.46,0.60,243.72,NA,0.00,13.48,995.93,NA
2019-01-02 01:00:00,96.06,NA,NA,NA,0.00,NA,19.71,0.66,10.00,2.85,4.50,NA,2.74,3.11,3.30,NA,74.26,0.12,176.01,NA,0.00,15.18,995.70,NA
2019-01-02 02:00:00,127.31,NA,NA,NA,0.00,NA,20.47,1.08,10.55,2.85,4.50,NA,2.74,3.11,3.30,NA,74.18,0.16,127.08,NA,0.00,14.55,995.73,NA
2019-01-02 03:00:00,159.33,NA,NA,NA,0.00,NA,15.22,1.32,10.29,2.83,4.48,NA,2.72,3.09,3.28,NA,74.09,0.35,215.63,NA,0.00,13.05,995.57,NA
2019-01-02 04:00:00,163.28,NA,NA,NA,0.00,NA,15.93,1.06,10.83,2.83,4.48,NA,2.73,3.09,3.28,NA,74.00,0.50,225.56,NA,0.00,12.94,995.60,NA
2019-01-02 05:00:00,172.23,NA,NA,NA,0.00,NA,16.79,0.68,10.64,2.83,4.48,NA,2.72,3.09,3.28,NA,73.94,0.18,127.54,NA,0.00,14.61,995.55,NA
2019-01-02 06:00:00,174.40,NA,NA,NA,0.00,NA,17.15,1.07,9.67,2.86,4.51,NA,2.75,3.12,3.31,NA,73.90,0.15,91.77,NA,0.00,13.44,995.77,NA
2019-01-02 07:00:00,160.31,NA,NA,NA,0.00,NA,17.45,1.40,9.34,2.99,4.63,NA,2.88,3.25,3.44,NA,73.69,0.10,92.70,NA,0.00,19.67,996.48,NA
2019-01-02 08:00:00,143.16,NA,NA,NA,0.00,NA,17.60,0.78,10.14,3.10,4.75,NA,2.99,3.36,3.55,NA,73.53,0.23,32.49,NA,0.00,58.52,997.18,NA
2019-01-02 09:00:00,133.04,NA,NA,NA,0.00,NA,15.60,0.92,11.61,3.11,4.76,NA,3.00,3.37,3.56,NA,72.82,0.43,54.56,NA,0.00,132.74,997.25,NA
2019-01-02 10:00:00,115.46,NA,NA,NA,0.00,NA,15.82,1.06,12.69,3.04,4.69,NA,2.93,3.30,3.49,NA,73.14,0.46,69.42,NA,0.00,221.97,996.82,NA
2019-01-02 11:00:00,85.34,NA,NA,NA,0.00,NA,15.54,0.70,14.01,2.90,4.55,NA,2.79,3.16,3.35,NA,72.87,0.41,79.77,NA,0.00,286.19,996.00,NA
2019-01-02 12:00:00,57.49,NA,NA,NA,0.00,NA,14.71,0.81,14.20,2.72,4.37,NA,2.62,2.98,3.18,NA,73.27,0.48,101.94,NA,0.00,326.01,994.92,NA
2019-01-02 13:00:00,33.60,NA,NA,NA,0.00,NA,14.49,1.14,13.68,2.55,4.20,NA,2.44,2.81,3.00,NA,71.90,0.40,108.86,NA,0.00,322.88,993.88,NA
2019-01-02 14:00:00,34.10,NA,NA,NA,0.00,NA,14.46,0.79,13.50,2.48,4.12,NA,2.36,2.74,2.93,NA,70.60,0.36,110.95,NA,0.00,251.07,993.45,NA
2019-01-02 15:00:00,52.98,NA,NA,NA,0.00,NA,14.37,1.02,13.26,2.46,4.11,NA,2.35,2.72,2.91,NA,71.14,0.52,133.88,NA,0.00,148.48,993.35,NA
2019-01-02 16:00:00,60.07,NA,NA,NA,0.00,NA,14.47,1.01,11.33,2.50,4.15,NA,2.39,2.76,2.95,NA,73.13,0.55,124.43,NA,0.00,79.20,993.60,NA
2019-01-02 17:00:00,70.41,NA,NA,NA,0.00,NA,13.79,0.78,7.17,2.62,4.27,NA,2.51,2.88,3.07,NA,72.33,0.99,172.03,NA,0.00,24.37,994.30,NA
2019-01-02 18:00:00,77.83,NA,NA,NA,0.00,NA,13.59,1.20,5.29,2.81,4.46,NA,2.70,3.07,3.26,NA,73.85,1.47,203.97,NA,0.00,10.01,995.48,NA
2019-01-02 19:00:00,86.89,NA,NA,NA,0.00,NA,14.53,2.16,6.48,2.97,4.62,NA,2.85,3.23,3.42,NA,73.85,1.18,209.85,NA,0.00,12.28,996.40,NA
2019-01-02 20:00:00,116.00,NA,NA,NA,0.00,NA,15.18,1.19,9.00,3.07,4.72,NA,2.96,3.33,3.52,NA,73.82,1.09,219.05,NA,0.00,13.55,997.05,NA
2019-01-02 21:00:00,135.96,NA,NA,NA,0.00,NA,14.63,2.19,11.32,3.13,4.78,NA,3.01,3.39,3.57,NA,73.77,0.88,202.41,NA,0.00,13.89,997.35,NA
2019-01-02 22:00:00,141.95,NA,NA,NA,0.00,NA,15.69,0.73,12.44,3.13,4.78,NA,3.02,3.39,3.58,NA,73.72,1.46,181.17,NA,0.00,13.74,997.35,NA
2019-01-02 23:00:00,139.43,NA,NA,NA,0.00,NA,16.04,0.00,12.54,3.12,4.77,NA,3.01,3.38,3.57,NA,73.68,1.00,172.58,NA,0.00,13.82,997.30,NA
2019-01-03 00:00:00,113.98,NA,NA,NA,0.00,NA,16.16,0.47,11.49,3.17,4.82,NA,3.05,3.43,3.62,NA,73.62,1.73,204.95,NA,0.00,14.18,997.60,NA
2019-01-03 01:00:00,98.11,NA,NA,NA,0.00,NA,16.23,0.04,11.16,3.23,4.88,NA,3.12,3.49,3.68,NA,73.60,1.43,173.35,NA,0.00,14.23,997.97,NA
2019-01-03 02:00:00,105.81,NA,NA,NA,0.00,NA,16.22,0.65,11.09,3.23,4.88,NA,3.12,3.49,3.68,NA,73.58,1.14,166.80,NA,0.00,14.17,997.93,NA
2019-01-03 03:00:00,119.99,NA,NA,NA,0.00,NA,15.49,0.66,10.74,3.20,4.85,NA,3.09,3.46,3.65,NA,73.20,1.19,206.90,NA,0.00,14.73,997.80,NA
2019-01-03 04:00:00,126.20,NA,NA,NA,0.00,NA,15.91,1.31,9.60,3.15,4.80,NA,3.04,3.41,3.60,NA,72.75,0.91,197.27,NA,0.00,15.04,997.55,NA
2019-01-03 05:00:00,131.41,NA,NA,NA,0.00,NA,16.66,1.35,8.45,3.17,4.82,NA,3.06,3.43,3.62,NA,72.84,1.12,198.52,NA,0.00,13.88,997.62,NA
2019-01-03 06:00:00,127.65,NA,NA,NA,0.00,NA,16.48,1.13,8.31,3.26,4.91,NA,3.15,3.52,3.71,NA,72.71,1.47,160.06,NA,0.00,13.06,998.15,NA
2019-01-03 07:00:00,112.48,NA,NA,NA,0.00,NA,17.37,1.06,8.87,3.34,4.99,NA,3.23,3.60,3.79,NA,72.23,1.44,149.14,NA,0.00,19.77,998.60,NA
2019-01-03 08:00:00,93.95,NA,NA,NA,0.00,NA,16.37,0.97,9.40,3.43,5.08,NA,3.32,3.69,3.88,NA,72.71,1.56,143.36,NA,0.00,56.33,999.20,NA
2019-01-03 09:00:00,90.48,NA,NA,NA,0.00,NA,14.24,1.22,12.05,3.56,5.21,NA,3.45,3.82,4.02,NA,73.35,1.66,142.01,NA,0.00,95.72,999.98,NA
2019-01-03 10:00:00,97.90,NA,NA,NA,0.00,NA,14.02,1.15,11.87,3.59,5.25,NA,3.49,3.85,4.05,NA,73.34,1.66,142.58,NA,0.00,145.95,1000.20,NA
2019-01-03 11:00:00,101.09,NA,NA,NA,0.00,NA,14.48,0.88,9.50,3.44,5.09,NA,3.33,3.70,3.89,NA,73.06,1.52,144.81,NA,0.00,245.74,999.22,NA
2019-01-03 12:00:00,102.14,NA,NA,NA,0.00,NA,14.67,0.90,9.09,3.19,4.84,NA,3.08,3.45,3.64,NA,73.51,1.38,166.30,NA,0.00,346.47,997.73,NA
2019-01-03 13:00:00,99.37,NA,NA,NA,0.00,NA,14.66,0.97,9.38,2.96,4.61,NA,2.85,3.22,3.41,NA,73.36,1.29,178.14,NA,0.00,352.28,996.37,NA
2019-01-03 14:00:00,104.42,NA,NA,NA,0.00,NA,13.81,0.87,10.16,2.84,4.49,NA,2.73,3.10,3.29,NA,72.80,1.23,177.67,NA,0.00,284.99,995.65,NA
2019-01-03 15:00:00,114.47,NA,NA,NA,0.00,NA,13.38,0.55,11.34,2.79,4.44,NA,2.68,3.05,3.24,NA,73.24,1.22,178.69,NA,0.00,162.98,995.30,NA
2019-01-03 16:00:00,116.28,NA,NA,NA,0.00,NA,13.89,0.74,10.61,2.80,4.45,NA,2.69,3.06,3.25,NA,72.34,1.12,168.02,NA,0.00,89.65,995.40,NA
2019-01-03 17:00:00,117.53,NA,NA,NA,0.00,NA,13.67,1.02,9.27,2.84,4.49,NA,2.74,3.11,3.29,NA,73.20,1.22,167.47,NA,0.00,27.44,995.90,NA
2019-01-03 18:00:00,168.48,NA,NA,NA,0.00,NA,13.51,0.93,7.12,3.01,4.66,NA,2.90,3.27,3.46,NA,73.75,1.37,172.19,NA,0.00,11.47,996.62,NA
2019-01-03 19:00:00,188.99,NA,NA,NA,0.00,NA,14.68,1.25,7.29,3.10,4.75,NA,2.99,3.36,3.55,NA,74.00,1.44,174.82,NA,0.00,12.40,997.18,NA
2019-01-03 20:00:00,170.76,NA,NA,NA,0.00,NA,15.57,1.12,7.95,3.17,4.82,NA,3.06,3.43,3.62,NA,73.99,1.44,163.72,NA,0.00,12.29,997.62,NA
2019-01-03 21:00:00,160.71,NA,NA,NA,0.00,NA,14.15,1.02,8.39,3.24,4.88,NA,3.12,3.49,3.68,NA,73.98,1.47,170.84,NA,0.00,13.23,997.97,NA
2019-01-03 22:00:00,147.35,NA,NA,NA,0.00,NA,14.34,0.64,8.59,3.22,4.87,NA,3.11,3.48,3.67,NA,73.98,1.36,164.70,NA,0.00,13.69,997.88,NA
2019-01-03 23:00:00,133.82,NA,NA,NA,0.00,NA,14.56,0.46,8.31,3.19,4.84,NA,3.08,3.45,3.64,NA,73.76,1.42,168.04,NA,0.00,14.28,997.72,NA
2019-01-04 00:00:00,119.61,NA,NA,NA,0.00,NA,14.77,1.83,7.59,3.15,4.80,NA,3.04,3.41,3.60,NA,73.51,1.35,185.88,NA,0.00,14.47,997.52,NA
2019-01-04 01:00:00,101.93,NA,NA,NA,0.00,NA,14.75,1.13,7.25,3.10,4.75,NA,2.99,3.36,3.55,NA,73.23,1.42,189.23,NA,0.00,14.07,997.20,NA
2019-01-04 02:00:00,94.84,NA,NA,NA,0.00,NA,15.15,0.71,6.63,3.09,4.74,NA,2.98,3.35,3.54,NA,73.08,1.30,184.79,NA,0.00,13.70,997.15,NA
2019-01-04 03:00:00,81.91,NA,NA,NA,0.00,NA,13.33,0.81,6.00,3.04,4.69,NA,2.93,3.30,3.49,NA,72.95,1.17,196.18,NA,0.00,14.18,996.85,NA
2019-01-04 04:00:00,67.51,NA,NA,NA,0.00,NA,13.97,1.23,5.62,2.99,4.64,NA,2.88,3.25,3.44,NA,72.88,1.12,192.17,NA,0.00,14.18,996.52,NA
2019-01-04 05:00:00,64.88,NA,NA,NA,0.00,NA,14.41,1.70,5.62,3.01,4.66,NA,2.90,3.27,3.46,NA,73.65,1.21,166.31,NA,0.00,14.15,996.65,NA
2019-01-04 06:00:00,59.43,NA,NA,NA,0.00,NA,14.61,0.66,5.59,3.03,4.68,NA,2.92,3.29,3.48,NA,73.98,1.25,167.03,NA,0.00,14.09,996.82,NA
2019-01-04 07:00:00,53.16,NA,NA,NA,0.00,NA,14.47,0.04,5.56,3.06,4.71,NA,2.95,3.32,3.51,NA,73.97,1.28,157.99,NA,0.00,18.81,996.98,NA
2019-01-04 08:00:00,53.78,NA,NA,NA,0.00,NA,13.29,1.19,6.16,3.18,4.83,NA,3.07,3.44,3.63,NA,73.97,1.33,153.90,NA,0.00,44.76,997.62,NA
2019-01-04 09:00:00,51.36,NA,NA,NA,0.00,NA,14.61,1.41,7.33,3.26,4.91,NA,3.15,3.52,3.71,NA,73.98,1.36,143.09,NA,0.00,112.12,998.15,NA
2019-01-04 10:00:00,59.07,NA,NA,NA,0.00,NA,19.07,1.10,7.43,3.22,4.87,NA,3.10,3.48,3.67,NA,74.00,1.19,143.72,NA,0.00,188.56,997.90,NA
2019-01-04 11:00:00,73.24,NA,NA,NA,0.00,NA,16.27,1.44,8.72,3.12,4.77,NA,3.01,3.38,3.57,NA,73.95,1.20,145.48,NA,0.00,224.69,997.30,NA
2019-01-04 12:00:00,83.32,NA,NA,NA,0.00,NA,9.96,1.11,17.58,2.95,4.60,NA,2.84,3.21,3.40,NA,74.05,1.12,183.53,NA,0.00,233.51,996.30,NA
2019-01-04 13:00:00,90.84,NA,NA,NA,0.00,NA,56.32,0.25,15.97,2.76,4.41,NA,2.65,3.02,3.21,NA,73.73,1.17,201.63,NA,0.00,213.97,995.15,NA
2019-01-04 14:00:00,87.32,NA,NA,NA,0.00,NA,73.62,0.00,9.41,2.61,4.26,NA,2.50,2.87,3.06,NA,74.03,1.05,229.15,NA,0.00,163.40,994.22,NA
2019-01-04 15:00:00,68.27,NA,NA,NA,0.00,NA,31.93,0.00,7.09,2.58,4.24,NA,2.48,2.84,3.03,NA,74.02,1.25,208.03,NA,0.00,84.32,994.12,NA
2019-01-04 16:00:00,60.74,NA,NA,NA,0.00,NA,17.00,0.83,5.96,2.61,4.26,NA,2.50,2.87,3.06,NA,74.01,0.83,150.71,NA,0.00,57.60,994.25,NA
2019-01-04 17:00:00,60.88,NA,NA,NA,0.00,NA,19.12,0.99,5.28,2.60,4.25,NA,2.49,2.86,3.05,NA,73.69,0.32,109.19,NA,0.00,25.30,994.18,NA
2019-01-04 18:00:00,70.68,NA,NA,NA,0.00,NA,20.96,1.06,5.20,2.69,4.34,NA,2.58,2.95,3.14,NA,73.76,0.75,136.53,NA,0.00,11.54,994.72,NA
2019-01-04 19:00:00,80.55,NA,NA,NA,0.00,NA,22.18,0.95,5.70,2.78,4.43,NA,2.67,3.04,3.23,NA,73.90,0.81,173.59,NA,0.00,12.38,995.28,NA
2019-01-04 20:00:00,90.63,NA,NA,NA,0.00,NA,22.94,1.37,7.16,2.86,4.51,NA,2.75,3.12,3.31,NA,73.96,1.15,206.86,NA,0.00,12.56,995.78,NA
2019-01-04 21:00:00,111.79,NA,NA,NA,0.00,NA,13.88,2.65,9.46,3.00,4.65,NA,2.89,3.26,3.45,NA,73.91,0.93,186.74,NA,0.00,12.85,996.60,NA
2019-01-04 22:00:00,124.37,NA,NA,NA,0.00,NA,11.46,1.31,9.92,3.06,4.71,NA,2.95,3.32,3.51,NA,73.83,0.60,109.97,NA,0.00,13.20,996.95,NA
2019-01-04 23:00:00,124.15,NA,NA,NA,0.00,NA,11.93,0.50,9.42,2.99,4.64,NA,2.88,3.25,3.44,NA,73.80,0.54,78.28,NA,0.00,14.09,996.53,NA
2019-01-05 00:00:00,116.12,NA,NA,NA,0.00,NA,11.57,0.60,8.40,2.82,4.47,NA,2.71,3.08,3.27,NA,73.52,0.25,66.38,NA,0.00,13.76,995.50,NA
2019-01-05 01:00:00,124.60,NA,NA,NA,0.00,NA,11.93,1.09,8.22,2.84,4.49,NA,2.73,3.10,3.29,NA,73.43,0.37,192.94,NA,0.00,13.63,995.62,NA
2019-01-05 02:00:00,144.50,NA,NA,NA,0.00,NA,11.91,0.93,8.77,2.84,4.49,NA,2.73,3.10,3.29,NA,73.50,0.22,209.45,NA,0.00,13.65,995.60,NA
2019-01-05 03:00:00,159.76,NA,NA,NA,0.00,NA,10.70,1.47,9.90,2.79,4.44,NA,2.68,3.05,3.24,NA,73.81,0.13,149.30,NA,0.00,13.35,995.35,NA
2019-01-05 04:00:00,158.33,NA,NA,NA,0.00,NA,10.97,1.54,9.95,2.74,4.39,NA,2.63,3.00,3.19,NA,73.82,0.07,186.86,NA,0.00,13.51,995.05,NA
2019-01-05 05:00:00,166.33,NA,NA,NA,0.00,NA,10.55,1.50,10.02,2.75,4.40,NA,2.64,3.01,3.20,NA,73.82,0.14,204.80,NA,0.00,13.74,995.07,NA
2019-01-05 06:00:00,164.94,NA,NA,NA,0.00,NA,11.41,1.54,9.91,2.79,4.44,NA,2.69,3.05,3.25,NA,73.83,0.07,179.15,NA,0.00,14.06,995.35,NA
2019-01-05 07:00:00,143.46,NA,NA,NA,0.00,NA,11.91,1.37,9.82,2.86,4.51,NA,2.75,3.12,3.31,NA,73.86,0.21,54.60,NA,0.00,18.29,995.77,NA
2019-01-05 08:00:00,130.56,NA,NA,NA,0.00,NA,11.83,1.44,10.99,2.95,4.60,NA,2.83,3.21,3.40,NA,73.88,0.33,59.00,NA,0.00,48.60,996.27,NA
2019-01-05 09:00:00,142.08,NA,NA,NA,0.00,NA,11.71,1.80,12.97,3.00,4.64,NA,2.88,3.25,3.45,NA,73.90,0.37,64.84,NA,0.00,125.05,996.55,NA
2019-01-05 10:00:00,170.58,NA,NA,NA,0.00,NA,13.13,1.08,14.37,2.94,4.59,NA,2.83,3.20,3.39,NA,74.04,0.27,94.25,NA,0.00,207.33,996.20,NA
2019-01-05 11:00:00,206.14,NA,NA,NA,0.00,NA,13.75,0.71,14.76,2.80,4.45,NA,2.69,3.06,3.25,NA,74.03,0.19,106.43,NA,0.00,251.92,995.37,NA
2019-01-05 12:00:00,213.97,NA,NA,NA,0.00,NA,15.14,0.70,15.03,2.58,4.24,NA,2.48,2.85,3.04,NA,74.04,0.21,79.98,NA,0.00,298.79,994.07,NA
2019-01-05 13:00:00,184.95,NA,NA,NA,0.00,NA,15.76,0.43,14.77,2.43,4.08,NA,2.32,2.69,2.82,NA,74.04,0.24,97.82,NA,0.00,322.24,993.18,NA
2019-01-05 14:00:00,114.33,NA,NA,NA,0.00,NA,15.08,0.68,13.53,2.23,3.88,NA,2.12,2.49,2.68,NA,74.05,0.15,115.15,NA,0.00,278.70,992.00,NA
2019-01-05 15:00:00,89.24,NA,NA,NA,0.00,NA,12.35,0.74,12.92,2.17,3.82,NA,2.06,2.43,2.60,NA,73.70,0.12,134.27,NA,0.00,203.12,991.60,NA
2019-01-05 16:00:00,67.03,NA,NA,NA,0.00,NA,8.44,1.16,11.07,2.15,3.80,NA,2.04,2.41,2.60,NA,73.31,0.12,118.60,NA,0.00,84.48,991.50,NA
2019-01-05 17:00:00,64.49,NA,NA,NA,0.00,NA,8.80,1.66,9.39,2.17,3.82,NA,2.06,2.43,2.65,NA,73.46,0.15,96.73,NA,0.00,41.76,991.60,NA
2019-01-05 18:00:00,70.59,NA,NA,NA,0.00,NA,8.79,1.69,7.35,2.31,3.96,NA,2.20,2.57,2.76,NA,73.60,0.28,193.37,NA,0.00,11.97,992.45,NA
2019-01-05 19:00:00,87.09,NA,NA,NA,0.00,NA,9.71,2.27,7.20,2.40,4.05,NA,2.29,2.66,2.85,NA,73.27,0.42,186.38,NA,0.00,12.52,992.98,NA
2019-01-05 20:00:00,107.77,NA,NA,NA,0.00,NA,10.37,0.98,7.90,2.45,4.10,NA,2.33,2.71,2.89,NA,72.12,0.32,192.28,NA,0.00,13.06,993.25,NA
2019-01-05 21:00:00,119.48,NA,NA,NA,0.00,NA,11.06,0.97,8.62,2.48,4.13,NA,2.37,2.74,2.93,NA,71.16,0.11,179.24,NA,0.00,13.21,993.45,NA
2019-01-05 22:00:00,123.56,NA,NA,NA,0.00,NA,11.61,0.96,9.92,2.40,4.05,NA,2.29,2.66,2.85,NA,70.81,0.17,134.98,NA,0.00,13.74,993.02,NA
2019-01-05 23:00:00,134.96,NA,NA,NA,0.00,NA,11.96,0.86,11.14,2.39,4.04,NA,2.28,2.65,2.84,NA,70.62,0.48,176.49,NA,0.00,12.39,992.90,NA
2019-01-06 00:00:00,157.67,NA,NA,NA,0.00,NA,12.24,0.83,11.13,2.36,4.02,NA,2.25,2.62,2.81,NA,73.86,0.95,232.63,NA,0.00,12.58,992.78,NA
2019-01-06 01:00:00,149.49,NA,NA,NA,0.00,NA,12.22,1.35,10.33,2.43,4.08,NA,2.32,2.69,2.88,NA,73.89,1.26,221.21,NA,0.00,14.96,993.18,NA
2019-01-06 02:00:00,144.71,NA,NA,NA,0.00,NA,11.87,1.49,9.70,2.45,4.10,NA,2.34,2.71,2.90,NA,73.89,1.11,219.61,NA,0.00,12.90,993.28,NA
2019-01-06 03:00:00,130.81,NA,NA,NA,0.00,NA,10.32,1.27,8.44,2.59,4.24,NA,2.48,2.85,3.04,NA,73.87,1.14,202.79,NA,0.00,14.14,994.13,NA
2019-01-06 04:00:00,106.51,NA,NA,NA,0.00,NA,10.57,0.71,6.97,2.56,4.21,NA,2.45,2.82,3.01,NA,73.85,1.06,211.55,NA,0.00,14.14,993.98,NA
2019-01-06 05:00:00,71.57,NA,NA,NA,0.00,NA,10.96,0.00,5.71,2.54,4.19,NA,2.43,2.80,2.99,NA,73.83,1.02,210.45,NA,0.00,14.51,993.82,NA
2019-01-06 06:00:00,38.73,NA,NA,NA,0.00,NA,10.86,1.30,4.69,2.59,4.24,NA,2.48,2.85,3.04,NA,73.74,1.03,195.02,NA,0.00,14.40,994.15,NA
2019-01-06 07:00:00,26.42,NA,NA,NA,0.00,NA,11.06,1.52,4.26,2.72,4.37,NA,2.61,2.98,3.17,NA,73.79,0.81,134.44,NA,0.00,15.79,994.90,NA
2019-01-06 08:00:00,24.80,NA,NA,NA,0.00,NA,11.12,1.18,4.32,2.71,4.36,NA,2.60,2.97,3.16,NA,73.79,0.39,86.39,NA,0.00,25.80,994.85,NA
2019-01-06 09:00:00,22.60,NA,NA,NA,0.00,NA,10.67,0.97,4.65,2.65,4.30,NA,2.54,2.91,3.10,NA,72.70,0.14,77.42,NA,0.00,130.31,994.48,NA
2019-01-06 10:00:00,26.85,NA,NA,NA,0.00,NA,11.11,0.95,4.33,2.56,4.21,NA,2.45,2.82,3.01,NA,72.11,0.18,84.96,NA,0.00,212.06,993.98,NA
2019-01-06 11:00:00,30.27,NA,NA,NA,0.00,NA,11.34,1.35,4.52,2.48,4.13,NA,2.37,2.74,2.93,NA,73.46,0.34,188.79,NA,0.00,265.51,993.48,NA
2019-01-06 12:00:00,29.44,NA,NA,NA,0.00,NA,11.47,1.13,14.73,2.31,3.96,NA,2.20,2.57,2.76,NA,74.18,0.70,197.86,NA,0.00,332.10,992.48,NA
2019-01-06 13:00:00,35.50,NA,NA,NA,0.00,NA,12.22,0.88,30.97,2.18,3.83,NA,2.07,2.44,2.63,NA,74.54,1.02,210.72,NA,0.00,327.33,991.68,NA
2019-01-06 14:00:00,33.76,NA,NA,NA,0.00,NA,13.24,0.87,32.38,2.13,3.78,NA,2.02,2.39,2.58,NA,74.61,0.95,203.21,NA,0.00,301.65,991.40,NA
2019-01-06 15:00:00,27.66,NA,NA,NA,0.00,NA,10.24,0.95,34.69,2.17,3.82,NA,2.06,2.43,2.62,NA,74.67,0.91,198.88,NA,0.00,174.91,991.57,NA
